103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
貢寮區(第9選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
2243,貢寮市民活動中心,長泰路１８之２號,貢寮里,全里,,,
2244,龍吉市民活動中心,嵩陽街４１號,龍崗里,全里,,,
2245,貢寮國小吉林校區,內寮街５５號,吉林里,全里,,,
2246,雙玉第一市民活動中心,德心街１１之１號,雙玉里,1-12,,,
2247,雙玉里集會所,田寮洋街４４號,雙玉里,13-23,,,
2248,利洋宮,福興街２５號,福連里,1-9,,,
2249,馬崗市民活動中心,馬崗街３１之６號,福連里,10-16,,,
2250,福隆國小,東興街３５號,福隆里,"1-7,18-22",,,
2251,福隆青少年活動中心,福隆街６０號,福隆里,8-17,,,
2252,龍門市民活動中心,龍門街６０之１號,龍門里,全里,,,
2253,澳底國小,延平街１０號,真理里,1-9,,,
2254,澳底國小,延平街１０號,真理里,10-22,,,
2255,仁和宮,仁和路９號,仁里里,"1-7,14-16",,,
2256,仁里第一市民活動中心,仁義街８號,仁里里,8-13,,,
2257,五美市民活動中心,丹裡街１６之１２號,美豐里,1-11,,,
2258,福安廟,雞母嶺街７號,美豐里,12-21,,,
2259,和美市民活動中心,和美街３５之２號,和美里,1-12,,,
2260,和美國小,龍洞街１之９號,和美里,13-21,,,
