103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,
,,,,,,
,,,,,,
八里區(第1選舉區),,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註
,,,,,,
120,空屋,頂寮２街８５號,龍源里,1-9,,
121,龍米市民活動中心,龍米路一段２２３號,龍源里,"10-15,23-27",,
122,聖心小學活動中心,龍米路一段２６１號,龍源里,"16-22,28-30",,
123,米倉國小（101）教室,龍米路二段１２９巷１號,米倉里,"1-9,11-13",,
124,渡船頭市民活動中心,渡船頭街１１巷８號,米倉里,"10,14-24",,
125,大崁老人文康活動中心,中山路一段２１號,大崁里,全里,,
126,大埤頂市民活動中心,中山路一段９５號,埤頭里,1-12,,
127,中庄市場綜合大樓3樓(市民活動中心）,中山路一段１０９號,埤頭里,13-28,,變更
128,北極宮,文昌路８９號之２,頂罟里,全里,,變更
129,文化活動中心,中山路二段２５１號,舊城里,1-8,,
130,八里國小明德樓(1106)教室,中山路二段３３８號,舊城里,9-14,,
131,八里國小明德樓(1107)教室,中山路二段３３８號,舊城里,15-17,,
132,八里國小明德樓(1108)教室,中山路二段３３８號,舊城里,18-22,,
133,八里國小朝陽樓(4104)教室,中山路二段３３８號,訊塘里,1-9,,
134,八里國小朝陽樓(4105)教室,中山路二段３３８號,訊塘里,10-23,,
135,下庄市場綜合大樓4樓(市民活動中心）,舊城路１９號４樓,荖阡里,全里,,
136,長坑活動中心（長坑國小內）,中華路三段２３６號,長坑里,全里,,
137,下罟長青活動中心,中山三段１７３號,下罟里,全里,,
