103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,
,,,,,,
,,,,,,
五股區(第2選舉區),,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註
,,,,,,
187,更寮國小配膳室,四維路２號,興珍里,1-15,,
188,興珍社區活動中心,四維路２號,興珍里,"16,17,30-39",,
189,福興宮,中興路一段１５１巷４號,興珍里,"18-29,40",,
190,更新市民活動中心,更洲路４５號,更寮里,全里,,
191,觀音市民活動中心,凌雲路三段１７之２號,觀音里,全里,,變更
192,清水灣大樓會議室,成泰路四段２２巷２號１樓,集福里,2-12,,
193,薪關渡大樓會議室,成泰路四段２４號之１０,集福里,"1,13-16,23-26",,
194,集福市民活動中心,孝義路５５巷１０號,集福里,17-22,,
195,集福社區活動中心,天乙路３號之１,集賢里,1-10,,
196,集福社區活動中心,天乙路３號之１,集賢里,11-22,,
197,成州國小一年一班教室,成泰路三段４９３號,成德里,1-12,,
198,成州國小一年三班教室,成泰路三段４９３號,成德里,13-23,,
199,成州國小一年五班教室,成泰路三段４９３號,成州里,9-18,,
200,成州國小一年七班教室,成泰路三段４９３號,成州里,19-25,,
201,成州市民活動中心,西雲路２６７號,成州里,"1-8,26,27",,
202,成功市民活動中心1樓,西雲路１６３號１樓,成功里,1-13,,
203,五股區社教大樓〈圖書館成功分館〉,西雲路１６５號６樓,成功里,14-25,,
204,成功市民活動中心2樓,西雲路１６３號２樓,成功里,26-34,,
205,成泰里守望相助隊,御史路１之５號,成泰里,1-11,,
206,成泰里守望相助隊,御史路１之５號,成泰里,12-21,,
207,法國宮庭社區大廳,御成路１４０號,成泰里,22-34,,變更
208,空屋,民義路二段５２之２２號,五龍里,全里,,
209,五福里集會所,五福路２２巷２５號之１,五福里,"11-15,18-23",,
210,台北愛家大樓會議室,五福路１４巷底,五福里,"1-10,16,17",,
211,撲滿成家大樓中庭會議室,五福路３５至５７號中庭,六福里,1-12,,
212,撲滿成家大樓中庭會議室,五福路３５至５７號中庭,六福里,13-23,,
213,五股區文康中心,民義路一段２１８號,民義里,1-13,,
214,聖天宮廣場,工商路１２９巷１之１號,民義里,14-23,,變更
215,五股國小科任教室(三),成泰路二段４９號,五股里,1-13,,
216,五股國小英語教室(三),成泰路二段４９號,五股里,14-28,,
217,德音社區活動中心,蓬萊路１號之５,德音里,1-10,,
218,裕昌宮,成泰路一段２３５號,德音里,11-21,,
219,空屋,成泰路一段１８９巷９弄３號,德音里,22-30,,
220,德音國小團輔教室(114),明德路２號,水碓里,1-8,,
221,德音國小群組教室(115),明德路２號,水碓里,9-18,,
222,德音國小英語教室(116),明德路２號,水碓里,19-28,,
223,德音國小1樓圓樓(健康中心旁),明德路２號,水碓里,29-36,,
224,德音國小健康中心,明德路２號,福德里,1-10,,
225,德音國小體育器材室(健康中心旁),明德路２號,福德里,11-19,,
226,聖源地母宮,成泰路一段７巷１４弄１７號,德泰里,"12-14,16-20",,變更
227,台北星洲社區圖書室,成泰路一段３２巷３２號,德泰里,3-8,,變更
228,德泰市民活動中心,成泰路一段８巷４號,德泰里,"1,2,9-11,15,21,22",,
229,貿商社區活動中心,貿商里４５６號,貿商里,1-14,,
230,貿商社區活動中心,貿商里４５６號,貿商里,15-25,,
231,陸光新城A社區活動中心,六合街５６號１樓,陸一里,1-17,,
232,陸光新城A社區活動中心,六合街５８號１樓,陸一里,18-35,,
