103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
金山區(第10選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
2261,金山國小,中山路２３４號,和平里,全里,,,
2262,金山區中山堂,溫泉路２巷９號,大同里,全里,,,
2263,豐漁社區活動中心,民生路１９０號,豐漁里,全里,,,
2264,磺港承天宮,磺港路１６１號,磺港里,全里,,變更,
2265,金山國小,中山路２３４號,美田里,1-15,,,
2266,金山高中,文化二路２號,美田里,16-25,,,
2267,金美國小,忠孝一路１１１號,金美里,1-15,,,
2268,金美國小,忠孝一路１１１號,金美里,16-24,,,
2269,金美國小,忠孝一路１１１號,金美里,25-35,,,
2270,金山區立圖書館,龜子山８號,五湖里,1-6,,,
2271,五南社區活動中心,南勢２７號,五湖里,7-17,,,
2272,三和國小,六股林口３８號,重和里,全里,,,
2273,三和國小兩湖分校,倒照湖１號,兩湖里,全里,,,
2274,六股市民活動中心,頂六股３號,六股里,全里,,,
2275,六三社區活動中心,三界壇１０１之１號,三界里,全里,,,
2276,清泉里社區活動中心,清水路４９號,清泉里,全里,,,
2277,西湖里倉庫,西勢湖９號,西湖里,全里,,,
2278,萬壽社區活動中心,海興路６９之１號,萬壽里,全里,,變更,
2279,永民社區活動中心,跳石１７號,永民里,全里,,,
