103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
板橋區(第4選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
862,林園大廈中庭,倉後街１之１３號,留侯里,全里,,,
863,板橋國小(枋橋樓201教室),文化路一段２３號,流芳里,全里,,,
864,板橋慈惠宮(太歲殿),府中路８１號,赤松里,全里,,,
865,板橋國小(枋橋樓202教室),文化路一段２３號,黃石里,全里,,,
866,板橋國小(枋橋樓203教室),文化路一段２３號,挹秀里,1-6,,,
867,板橋國小(枋橋樓204教室),文化路一段２３號,挹秀里,7-13,,,
868,湳興第一市民活動中心,南雅西路一段６４號,湳興里,"13,14,16,20,21",,,
869,板橋清潔隊-後勤分隊,南雅西路一段１５４號,湳興里,"12,15,17-19,23-25",,,
870,湳興社區活動中心,南雅西路一段１５４號,湳興里,6-11,,,
871,彬彬幼稚園,館前西路１６０巷２號,湳興里,"1-5,22",,,
872,湳興市場二樓左側(新興市民活動中心),中興路６３號２樓,新興里,1-10,,,
873,湳興市場二樓右側(新興市民活動中心),中興路６３號２樓,新興里,11-17,,,
874,上帝宮廟(原托兒所),中正路８０巷１弄７號,社後里,"1-3,5-7",,,
875,社後第一市民活動中心,大仁街３３巷２號,社後里,"4,8-10,20,21,23,24",,,
876,社後第一市民活動中心（會議室）,大仁街３３巷２號,社後里,"11-15,25,26,28",,,
877,國光公園活動中心,中正路３７５巷４８號,社後里,"16-19,22,27",,,
878,國光國小(122教室),中正路３２５巷３０號,香社里,1-7,,,
879,國光國小(123教室),中正路３２５巷３０號,香社里,8-13,,,
880,國光國小(124教室),中正路３２５巷３０號,香社里,14-21,,,
881,國光國小(120教室),中正路３２５巷３０號,香雅里,1-5,,,
882,國光國小(121教室),中正路３２５巷３０號,香雅里,6-11,,,
883,板橋國中(801教室),中正路４３７號,中正里,1-10,,,
884,板橋國中(特教班一教室),中正路４３７號,中正里,11-19,,,
885,板橋國中(714教室),中正路４３７號,中正里,20-27,,,
886,板橋國小(511教室),文化路一段２３號,自強里,"1,14,24-30",,,
887,板橋國小(512教室),文化路一段２３號,自強里,"3-10,35",,,
888,板橋國小(513教室),文化路一段２３號,自強里,"11-13,15,16,31-34",,,
889,自強基督教浸禮聖經會,大智街１３號,自強里,"2,17-23",,,
890,自立市民活動中心(右側),大智街７７號,自立里,1-9,,,
891,自立市民活動中心(左側),大智街７７號,自立里,10-20,,,
892,大觀書社（文昌祠）,西門街５號,光華里,1-10,,變更,
893,光華市民活動中心,光華街１號,光華里,11-20,,,
894,"光榮市民活動中心（左側）",光華街５２號,光榮里,1-9,,,
895,"光榮市民活動中心（右側）",光華街５２號,光榮里,10-20,,,
896,國光市民活動中心(左側),國光路７６號,國光里,1-7,,,
897,國光市民活動中心(右側),國光路７６號,國光里,8-13,,,
898,國光市民活動中心(儲藏室),國光路７６號,國光里,14-20,,,
899,港尾市民活動中心(前段),中正路３３６之１號,港尾里,1-7,,,
900,港尾市民活動中心(後段),中正路３３６之１號,港尾里,8-15,,,
901,文德國小(124教室),英士路１７９號,新生里,1-8,,,
902,文德國小(123教室),英士路１７９號,新生里,9-16,,,
903,文德國小(122教室),英士路１７９號,新生里,17-24,,,
904,文德國小(136教室),英士路１７９號,金華里,1-7,,,
905,文德國小(135教室),英士路１７９號,金華里,8-15,,,
906,文德國小(134教室),英士路１７９號,金華里,16-23,,,
907,國光國小(125教室),中正路３２５巷３０號,港德里,1-8,,,
908,國光國小(126教室),中正路３２５巷３０號,港德里,9-15,,,
909,國光國小(127教室),中正路３２５巷３０號,港德里,16-22,,,
910,文德國小(133教室),英士路１７９號,港德里,23-29,,,
911,民權市民活動中心,民權路２０２巷９弄３９號,民權里,1-12,,,
912,慈惠幼兒園,民權路２０２巷１３弄２２號１樓,民權里,13-24,,變更,
913,板橋國小(814教室),文化路一段２３號,民安里,12-19,,,
914,民安市民活動中心,民權路２０２巷７弄２８號,民安里,1-11,,,
915,板橋和平堂教堂廣場,民權路２０２巷１７弄７０號,建國里,"4,9,13,17-20,22,28,30,31",,,
916,民宅,復興街２７號,建國里,"7,8,10-12,14-16,23,27",,,
917,私立和平幼稚園,建國街３２號,建國里,"1-3,5,6,21,24-26,29",,,
918,接源堂辦公室,光正街５５號,漢生里,1-7,,,
919,接源堂廟前廣場,光正街５２號,漢生里,8-15,,,
920,接源堂辦公處（新）,光正街４４號,漢生里,16-22,,,
921,公館社區活動中心（前）,光正街５７號,公?里,"2,4-7,16,21",,,
