103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
石碇區(第8選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
2138,石碇社區活動中心,石碇西街６１號,石碇里,全里,,,
2139,潭邊市民活動中心,碇坪路一段３９號,潭邊里,全里,,,
2140,烏塗市民活動中心,烏塗窟２３之１號,烏塗里,全里,,,
2141,彭山市民活動中心,崩山３３之１號,彭山里,全里,,,
2142,豐田市民活動中心,磨石坑１０號,豐田里,1-5,,,
2143,民宅,?頭７號,豐田里,"6,7",,,
2144,隆盛里和平國小,靜安路一段５號,隆盛里,全里,,,
2145,石碇區聯合活動中心暨綜合大樓,楓子林３２之１號,豐林里,全里,,,
2146,中民市民活動中心,靜安路一段１８３號,中民里,全里,,,
2147,永定國小,靜安路一段２４５號,永定里,全里,,,
2148,光明市民活動中心,光明路１２之１號,光明里,全里,,,
2149,永安里活動中心,北宜路六段直潭巷２５號,永安里,全里,,,
2150,格頭市民活動中心,北宜路五段３號,格頭里,全里,,,
