103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
平溪區(第9選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
2167,薯榔市民活動中心,靜安路二段６３號,薯榔里,全里,,變更,
2168,菁桐市民活動中心,菁桐街６５之１號,菁桐里,全里,,,
2169,白石市民活動中心,靜安路二段２４１號,白石里,全里,,,
2170,平溪市民活動中心,公園街１７號,石底里,全里,,,
2171,平溪國小禮堂,平溪街５６號,平溪里,全里,,,
2172,嶺腳市民活動中心,嶺腳寮１４號,嶺腳里,全里,,,
2173,東勢市民活動中心,?蓁林６２之１號,東勢里,全里,,,
2174,十分市民活動中心,十分街１５９號,十分里,全里,,,
2175,十分國小三年級教室,十分街１５７號,望古里,全里,,,
2176,南山市民活動中心,靜安路三段２３２號,南山里,全里,,,
2177,十分國小四年級教室,十分街１５７號,新寮里,全里,,,
2178,平湖市民活動中心,大湖１０號,平湖里,全里,,,
