103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
新店區(第8選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
2008,中央公有市場1樓川堂(全聯社靠五街側),中央五街６０號,中央里,"3,6-12",,,
2009,中央公有市場1樓川堂(停車管理處靠五街側),中央五街６０號,中央里,13-20,,,
2010,大豐國小,民族路１０８號,國豐里,1-11,,,
2011,大豐國小,民族路１０８號,國豐里,12-22,,,
2012,大豐國小,民族路１０８號,明德里,1-9,,,
2013,大豐國小,民族路１０８號,明德里,10-19,,,
2014,大豐國小,民族路１０８號,明德里,20-27,,,
2015,大豐國小,民族路１０８號,大豐里,"1-5,7-12",,,
2016,大豐國小,民族路１０８號,大豐里,"6,13-24",,,
2017,樂童幼兒園,大豐路１６巷９號,大同里,"1-10,13",,,
2018,樂童幼兒園,大豐路１６巷１１號,大同里,"11,12,14-26",,,
2019,大豐國小,民族路１０８號,江陵里,1-8,,,
2020,大豐國小,民族路１０８號,江陵里,9-14,,,
2021,大豐國小,民族路１０８號,江陵里,15-23,,,
2022,大豐國小,民族路１０８號,復興里,1-14,,,
2023,莊敬高職,民生路４５號,復興里,15-21,,,
2024,開明高職,寶中路４９號,寶興里,"3-8,18-20,22",,,
2025,寶興活動中心會議室,寶中路６５巷５９號,寶興里,"1,2,21,24",,,
2026,寶興活動中心文康室,寶中路６５巷５９號,寶興里,"9-17,23",,,
2027,寶橋福壽宮(土地公廟),寶橋路２６６號,寶福里,"1,2,6-11",,,
2028,隆康科技文教園區1樓通道(康軒文教對面),中興路二段２１８巷６號至１０號,寶福里,"3-5,12-14,18,21",,變更,
2029,寶路生活館社區E棟大樓通道,中興路二段２０５號,寶福里,15-17,,,
2030,寶福社區活動中心,寶興路６２巷５號地下室,寶福里,"19,20,22-29",,,
2031,開明高職,寶中路４９號,寶安里,1-16,,,
2032,開明高職,寶中路４９號,寶安里,"17-23,32,37-39",,,
2033,車庫,北新路三段１３８號１樓後方(大坪林捷運站２號出口旁巷內),寶安里,"24-31,33-36",,,
2034,泰山岩顯應祖師廟,寶慶街３２巷５弄５號,信義里,1-5,,,
2035,信義活動中心,寶慶街１０之１號,信義里,"6-11,13,14,27,31",,,
2036,信義活動中心,寶慶街１０之１號,信義里,"12,15-19",,,
2037,大坪林聯合開發大樓,北新路三段２００號,信義里,"20-26,28-30",,,
2038,莊敬高職,民生路４５號,忠孝里,1-9,,,
2039,莊敬高職,民生路４５號,忠孝里,10-15,,,
2040,陽光天使幼兒園安親班教室,中正路７００巷２６號,大鵬里,1-5,,,
2041,大鵬華城管委會活動中心會議室,中正路７００巷２６號２樓,大鵬里,6-10,,,
2042,太平里臨時集會所,碧潭路２７號,太平里,1-10,,,
2043,太平宮餐廳(原太平托兒所旁),太平路４５號旁,太平里,11-20,,,
2044,美城里才藝教室,永業路８１巷３弄５號地下室,美城里,"1-4,12-14",,,
2045,美之城社區活動中心,永業路８１巷７弄１號地下室,美城里,5-11,,,
2046,頂城活動中心,安康路一段９之２號,頂城里,全里,,,
2047,下城活動中心,安康路一段２８１巷６號,下城里,3,,,
2048,下城活動中心,安康路一段２８１巷６號,下城里,"1,2,4-14",,,
2049,安康高中,安興路２５號,柴埕里,"1-8,10",,,
2050,安康高中,安興路２５號,柴埕里,"9,11-19",,,
2051,安康高中,安興路２５號,柴埕里,"20-26,28",,,
2052,安康高中,安興路２５號,柴埕里,"27,29-34",,,
2053,凡賽斯花園社區大廳,安民街２３２之１號,安和里,"1-7,12,26",,新增,
2054,別墅天廈中庭(會議室),安和路二段２１９號地下室,安和里,"8-11,13-15",,,
2055,別墅天廈中庭(通道),安和路二段２１９號地下室,安和里,18-20,,,
2056,大溪地社區集會所,安民街３６５巷１４號地下室,安和里,"16,17,21-25,27,28",,,
2057,新和國小,安和路三段１００號,永安里,1-6,,,
2058,新和國小,安和路三段１００號,永安里,7-16,,,
2059,新和國小,安和路三段１００號,永安里,17-25,,,
2060,新和國小,安和路三段１００號,新和里,1-11,,,
2061,新和國小,安和路三段１００號,新和里,12-23,,,
2062,新和國小,安和路三段１００號,永平里,"1-6,10",,,
2063,新和國小,安和路三段１００號,永平里,"7-9,13,14",,,
2064,新和國小,安和路三段１００號,永平里,"11,12,15-17",,,
2065,安坑國小,安忠路３６號,公崙里,1-9,,,
2066,安坑國小,安忠路３６號,公崙里,10-14,,,
2067,安坑國小,安忠路３６號,公崙里,15-19,,,
2068,安坑國小,安忠路３６號,公崙里,20-24,,,
2069,安坑國小,安忠路３６號,公崙里,25-29,,,
2070,安坑國小,安忠路３６號,公崙里,30-37,,新增,
2071,寶芝林甲社區育樂室,安德街８２巷１０之１號,安昌里,"1-3,17",,,
2072,浪漫貴族社區,安成街２０號地下室,安昌里,"4-6,8-11",,,
2073,品值寶鎮社區會議室,安康路二段２０６巷,安昌里,"7,12-16",,新增,
2074,安康教會,安康路二段２３４巷１號,德安里,1-7,,,
2075,新北市青少年圖書館1樓,安康路二段１５１號,德安里,8-17,,,
2076,德安里巡守隊隊部,車子路１號隔壁,德安里,18-28,,,
2077,好好幼兒園地下1樓,達觀路６號,達觀里,1-11,,,
2078,達觀快樂20社區B1停車場,達觀路２０號,達觀里,12-21,,,
2079,黎明清境社區管理中心,黎明路９號,明城里,1-10,,,
2080,觀天下社區服務中心,黎明路６８號,明城里,11-21,,,
2081,台北小城活動中心,僑信路１９號,小城里,1-7,,,
2082,台北小城服務中心2樓,僑信路６３號２樓,小城里,8-18,,,
2083,新北市立新店幼兒園雙城分班,安康路三段１６５巷２弄２９號,雙城里,1-8,,,
2084,潤濟宮,安康路三段３０６號,雙城里,"9-13,21,22",,,
2085,喜洋洋社區活動中心,裕合街１號,雙城里,14-20,,,
2086,頂好社區活動中心,安泰路６０巷１之１號,雙城里,23-29,,,
2087,彩蝶別墅社區管理中心,安祥路１０２巷口,香坡里,1-9,,,
2088,伴吾別墅管委會會議室,安祥路１０６巷１號,香坡里,10-15,,,
2089,綠野香坡社區活動中心,安祥路１４７巷７至９號地下室,香坡里,16-25,,,
2090,新鎮社區管委會辦公室,安祥路１１０巷２號地下室,香坡里,"26-36,46",,,
2091,綠中海一期社區管理中心,安祥路６５號,香坡里,37-39,,,
2092,綠灣社區管理中心,安祥路９７巷１號,香坡里,40-45,,新增,
2093,日興宮(日興閱覽室),安康路三段５３０號,日興里,1-11,,,
2094,錦秀社區管委會文康中心,錦秀路２２號地下室,日興里,12-21,,,
2095,台北新家坡隨園社區文康中心,安康路二段７３８號Ｂ１,日興里,22-29,,變更,
2096,玫瑰社區游泳池,富貴街９巷２９號地下室,玫瑰里,"1-5,14-16,19-21",,,
2097,玫瑰社區桌球室,富貴街２０巷２號地下室,玫瑰里,"6-13,17,18",,,
2098,滿堂彩社區活動中心,玫瑰路５８巷１８號地下室,玫瑰里,22-28,,,
2099,賓士社區活動中心,玫瑰路５１巷１４號地下室,吉祥里,"1-5,7",,,
2100,吉祥活動中心,玫瑰路５１巷２號,吉祥里,8-14,,,
2101,琴鍵畫樓管委會地下室,吉祥街２巷地下室,吉祥里,"6,15-24",,,
2102,車庫,新潭路一段２５號,塗潭里,全里,,,
2103,石上清泉社區C2A區停車場,禾豐六路９２號,華城里,1-5,,,
2104,華城特區俱樂部,華城一路１８號,華城里,6-13,,,
2105,南青宮,北宜路一段２８６號,青潭里,1-10,,,
2106,青潭國小,北宜路二段８０號,青潭里,"11,15-19",,,
2107,青潭國小,北宜路二段８０號,青潭里,"12-14,20-22",,,
2108,青潭國小,北宜路二段８０號,美潭里,"1-7,9",,,
2109,青潭國小,北宜路二段８０號,美潭里,"8,10-15",,,
2110,大地世紀社區活動中心,長春路９巷２４之１號,美潭里,16-20,,,
2111,福神宮,北宜路二段１２６號,員潭里,"1-6,13-19",,,
2112,新巢代社區,北宜路二段５０１號,員潭里,7-12,,,
2113,雙?國小,北宜路三段６６號,雙坑里,全里,,,
2114,長興宮文康中心,新烏路一段８９號,粗坑里,"1-3,9,10",,,
2115,聽濤館,花園六路１號,粗坑里,"4-8,11-20",,變更,
2116,屈尺國小,屈尺路５５號,屈尺里,1-11,,,
2117,屈尺國小,屈尺路５５號,屈尺里,12-18,,,
2118,龜山國小,新烏路三段９９巷１０號,龜山里,全里,,,
2119,廣興分校,廣興路５７號,廣興里,全里,,,
2120,崇德宮（王爺公廟）,灣潭路１２之２號,直潭里,1-6,,,
2121,直潭國小,直潭路９２號,直潭里,7-22,,,
