103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
新店區(第8選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
1948,新北市立新店幼兒園新店分班,新店路２０７號,新店里,全里,,,
1949,?公農田水利會新店紀念大樓,北新路一段４５巷５號,張南里,全里,,,
1950,新店國小,新店路２號,國校里,1-6,,,
1951,新店國小,新店路２號,國校里,7-10,,,
1952,文山國中,文中路３８號,文中里,全里,,,
1953,新店教會,光明街１３８巷８、１０號,廣明里,全里,,,
1954,文明里活動中心,光明街１６８巷５弄２之１號,文明里,"1-7,17",,,
1955,福德祠(土地公廟),檳榔路３６巷口,文明里,"8-16,18",,,
1956,五?國中,中興路一段２５３號,中興里,1-4,,,
1957,五?國中,中興路一段２５３號,中興里,5-7,,,
1958,五?國中,中興路一段２５３號,中興里,8-11,,,
1959,五?國中,中興路一段２５３號,中興里,12-18,,,
1960,天闊社區中庭,環河路３６號,新生里,2-5,,,
1961,名人華廈社區中庭,北新路一段１３５號,新生里,"1,6-12,24,25",,,
1962,車庫,新生街１３巷５號,新生里,"13-23,26",,,
1963,五?國中(2樓教室),中興路一段２５３號,新德里,1-10,,,
1964,五?國中(2樓教室),中興路一段２５３號,新德里,11-20,,,
1965,北新國小,寶橋路８號,張北里,1-7,,,
1966,北新國小,寶橋路８號,張北里,8-11,,,
1967,北新國小,寶橋路８號,張北里,12-17,,,
1968,北新國小,寶橋路８號,張北里,18-22,,,
1969,北新國小,寶橋路８號,張北里,23-26,,新增,
1970,五?國中,中興路一段２５３號,五?里,1-8,,,
1971,五?國中,中興路一段２５３號,五?里,9-14,,,
1972,五?國中,中興路一段２５３號,五?里,15-18,,,
1973,五?國中,中興路一段２５３號,五?里,19-25,,,
1974,大千豪景社區活動中心,新坡一街１８巷４弄２７號底,長春里,"1-4,10,11",,,
1975,江坡華城社區活動中心,新坡一街７０號,長春里,5-9,,,
1976,北新國小,寶橋路８號,新安里,"1-8,11",,,
1977,北新國小,寶橋路８號,新安里,"9,10,12-15",,,
1978,北新國小,寶橋路８號,新安里,16-25,,,
1979,北新國小,寶橋路８號,忠誠里,1-9,,,
1980,北新國小,寶橋路８號,忠誠里,10-20,,,
1981,崇光女中(2樓教室),三民路１８號,中正里,1-7,,,
1982,崇光女中(2樓教室),三民路１８號,中正里,8-17,,,
1983,三民活動中心,三民路２０之２號,中正里,19-22,,,
1984,中正活動中心(中正閱覽室),中正路２７５巷１７之１號,中正里,"18,23,24",,,
1985,中正國小,三民路３６號,中華里,1-7,,,
1986,中正國小,三民路３６號,中華里,8-13,,,
1987,中正國小,三民路３６號,中華里,14-21,,,
1988,佳欣幼兒園,中正路１２８巷９弄１號,仁愛里,1-9,,,
1989,崇光女中(2樓教室),三民路１８號,仁愛里,10-19,,,
1990,新店區建國游泳池,建國路５８號,建國里,"1-9,17",,,
1991,容石園幼兒園,建安街３１號,建國里,"10-16,18",,,
1992,中正國小,三民路３６號,百忍里,1-7,,,
1993,中正國小,三民路３６號,百忍里,8-14,,,
1994,咸亨宮,自由街２號,百忍里,15-22,,,
1995,大豐國小,民族路１０８號,百和里,1-12,,,
1996,大豐國小,民族路１０８號,百和里,13-22,,,
1997,新店高中,中央路９３號,福德里,"1-8,10",,,
1998,新店高中,中央路９３號,福德里,"9,11-20",,,
1999,中正國小,三民路３６號,百福里,1-15,,,
2000,中正國小,三民路３６號,百福里,16-24,,,
2001,福民活動中心,福園街８之１號,福民里,"1-14,17,18",,,
2002,新店高中,中央路９３號,福民里,"15,16,19-25",,,
2003,中央公有市場1樓川堂(停車管理處靠四街側),中央五街６０號,中山里,"1-8,12-16",,,
2004,湯泉美地社區管委會宴會廳,溪園路３９３號,中山里,"9,10,17-21",,,
2005,湯泉櫻花社區B1圖書室,溪園路５１３號地下室,中山里,"11,22-26",,,
2006,新北市立新店幼兒園和平分班,民生路１４７巷口,和平里,全里,,,
2007,中央公有市場1樓川堂(全聯社靠四街側),中央五街６０號,中央里,"1,2,4,5",,,
