103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
樹林區(第7選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
1578,三多國小,三福街５２號,三興里,1-11,,,
1579,三多國小,三福街５２號,三興里,"12,13,23-28",,,
1580,民宅,大慶街８６號,三興里,"14-22,29-31",,,
1581,三多國小,三福街５２號,三福里,1-10,,,
1582,三多國小,三福街５２號,三福里,11-24,,,
1583,三多國小,三福街５２號,三福里,25-32,,,
1584,保安福德宮,保安街三段１巷口,三多里,"1-6,11-14",,,
1585,三多第2市民活動中心,中正路７１１巷１號,三多里,"7-10,15-21",,,
1586,迴龍幼兒園,三俊街３５號,三龍里,"1-4,9-12",,變更,
1587,迴龍幼兒園,三俊街３５號,三龍里,"5-8,13-16",,,
1588,三多國中,三多路１０１號,?寮里,1-9,,,
1589,三多國中,三多路１０１號,?寮里,10-20,,,
1590,三多國中,三多路１０１號,?寮里,21-27,,,
1591,武林國小,保安街二段１５１號,光興里,1-6,,,
1592,武林國小,保安街二段１５１號,光興里,"7-11,19-21",,,
1593,鎮福宮,光興街１４６巷口,光興里,12-18,,,
1594,武林國小,保安街二段１５１號,金寮里,1-8,,,
1595,武林國小,保安街二段１５１號,金寮里,9-17,,,
1596,武林國小,保安街二段１５１號,金寮里,18-24,,,
1597,潭底市民活動中心,保安街一段２８９巷８號,潭底里,"1-10,33",,,
1598,樹人家商,大安路２１６號,潭底里,"11-17,30,31",,,
1599,文林國小,千歲街５９號,潭底里,"18-29,32",,,
1600,文林國小,千歲街５９號,文林里,1-10,,,
1601,文林國小,千歲街５９號,文林里,11-24,,,
1602,文林國小,千歲街５９號,文林里,25-36,,,
1603,保安市民活動中心,保順街８８號１樓,保安里,"23-27,30,31,34",,,
1604,保安市民活動中心,保順街８８號１樓,保安里,"1-7,32,33",,,
1605,鎮南宮,千歲街２號,保安里,8-16,,,
1606,文林國小,千歲街５９號,保安里,"17-22,28,29",,,
1607,圳安社區活動中心１樓,俊英街９８之１號,圳安里,1-8,,,
1608,圳安第二松鶴會館,俊英街２１９之３號,圳安里,9-15,,,
1609,永竑機械股份有限公司(原新達機械股份有限公司),俊英街２０６號,圳安里,16-23,,,
1610,中正體育活動中心,樹新路２０３之１號,圳福里,"1-9,23",,,
1611,圳安松鶴一會(原圳安社區長壽俱樂部),中正路２１號之１（中正路橋下）,圳福里,"10,11,14-17,26,27",,,
1612,文林國小,千歲街５９號,圳福里,"12,13,18-22,24,25",,,
1613,圳安第二松鶴會館,俊英街２１９之３號,圳民里,1-9,,,
1614,圳安第二松鶴會館,俊英街２１９之３號,圳民里,10-16,,,
1615,圳安第二松鶴會館,俊英街２１９之３號,圳生里,全里,,,
1616,樹人家商,大安路２１６號,樹德里,"11,21-25",,,
1617,長壽親子公園旁,復興路１３９之１號,樹德里,"10,12-20",,變更,
1618,新力幼兒園,復興路５０號,樹德里,1-9,,,
1619,基督教樹林教會,保安街一段３９號,樹福里,"5,11-20",,,
1620,民宅,中山路一段２巷２號,樹福里,"1-4,6-10",,,
1621,樹西市民活動中心,復興路２２５巷２號,樹西里,"15,19,20,22-25,27-29,32",,,
1622,樹林國小,育英街１７６號,樹西里,"1-4,6-10",,,
1623,樹林國小,育英街１７６號,樹西里,"5,11-14,16-18,21,26,30,31",,,
1624,樹林國小,育英街１７６號,樹興里,1-10,,,
1625,樹林國小,育英街１７６號,樹興里,11-18,,,
1626,停七活動中心,復興路２０２號,樹興里,19-27,,變更,
1627,育林國中,復興路３９５號,樹人里,1-10,,,
1628,樹林國小,育英街１７６號,樹人里,11-21,,,
1629,樹林國小,育英街１７６號,育英里,"2-10,18,20",,,
1630,企鵝家族幼兒園,文化街２２號,育英里,"1,11-17,19",,變更,
1631,文化市民活動中心,文化街１５號,樹南里,"1-6,21-23",,,
1632,健民協會,復興路３３５巷７號,樹南里,"7-11,24-29",,,
1633,育林國小,復興路３９５號,樹南里,12-20,,,
1634,坡內市民活動中心,備內街１１７號,坡內里,全里,,,
