103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
永和區(第6選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
1440,金甌女中101教室,博愛街３６號,光復里,全里,,,
1441,金甌女中102教室,博愛街３６號,網溪里,全里,,,
1442,竹林小學(一甲),竹林路３４號,復興里,"1,2,5-8",,,
1443,永和幼兒園博愛分班,竹林路３９巷３５號,復興里,"3,4,9-14",,,
1444,新北市國父紀念館,竹林路２０２號,竹林里,1-14,,,
1445,新北市國父紀念館,竹林路２０２號,竹林里,15-30,,,
1446,網溪國小一年1班,竹林路７９號,桂林里,1-7,,,
1447,網溪國小一年2班,竹林路７９號,桂林里,8-18,,,
1448,網溪國小一年3班,竹林路７９號,上林里,1-10,,,
1449,網溪國小一年4班,竹林路７９號,上林里,11-21,,,
1450,新北市國父紀念館,竹林路２０２號,福林里,1-17,,,
1451,新北市國父紀念館,竹林路２０２號,福林里,18-25,,,
1452,溪洲市民活動中心3樓,勵行街４２之１號,勵行里,全里,,,
1453,溪洲市民活動中心2樓,勵行街４２之１號,中興里,1-9,,,
1454,溪洲市民活動中心2樓,勵行街４２之１號,中興里,10-17,,,
1455,網溪國小一年5班,竹林路７９號,永興里,1-13,,,
1456,網溪國小一年6班,竹林路７９號,永興里,14-26,,,
1457,網溪國小一年7班,竹林路７９號,正興里,1-11,,,
1458,網溪國小二年1班,竹林路７９號,正興里,12-17,,,
1459,豫溪市民活動中心,中正路６３７號,豫溪里,1-9,,,
1460,民宅,中正路６８０巷１５號,豫溪里,10-17,,,
1461,新北市立圖書館永和分館,國光路２號,光明里,1-11,,,
1462,新北市立圖書館永和分館前,國光路２號,光明里,12-17,,,
1463,福和國中705教室,永利路７１號,福和里,1-9,,,
1464,福和國中704教室,永利路７１號,福和里,10-13,,,
1465,福和國中703教室,永利路７１號,福和里,14-23,,,
1466,復興商工302教室,秀朗路一段２０１號,得和里,1-9,,,
1467,復興商工304教室,秀朗路一段２０１號,得和里,10-17,,,
1468,復興商工701教室,秀朗路一段２０１號,得和里,18-25,,,
1469,育才小學一年智班,福和路１２５巷２０號,永貞里,1-12,,,
1470,育才小學一年藍班,福和路１２５巷２０號,永貞里,13-20,,,
1471,永和國中903教室,國中路１１１號,永福里,1-8,,,
1472,永和國中906教室,國中路１１１號,永福里,9-18,,,
1473,永和國中911教室,國中路１１１號,河濱里,1-10,,,
1474,河濱第一市民活動中心,林森路１０巷１８弄６號,河濱里,11-19,,,
1475,永和國中914教室,國中路１１１號,秀和里,1-9,,,
1476,福和國中702教室,永利路７１號,秀和里,10-15,,,
1477,福和國中701教室,永利路７１號,秀和里,16-21,,,
1478,永和秀朗社區活動中心,秀朗路二段２４巷１８號,永元里,1-8,,,
1479,得和市民活動中心,秀朗路二段２４巷３５號,永元里,9-16,,,
1480,得和市民活動中心,秀朗路二段２４巷３５號,永元里,17-21,,,
1481,秀朗國小102教室,得和路２０２號,民權里,1-13,,,
1482,秀朗國小103教室,得和路２０２號,民權里,"14-16,21-24",,,
1483,民權市民活動中心,民權路６０號４樓,民權里,"17-20,25,26",,,
1484,秀朗國小105教室,得和路２０２號,民族里,1-9,,,
1485,秀朗國小108教室,得和路２０２號,民族里,10-16,,,
1486,秀朗國小109教室,得和路２０２號,民族里,17-22,,,
1487,秀朗市民活動中心,成功路一段２０之１號,秀朗里,1-12,,,
1488,秀朗市民活動中心,成功路一段２０之１號,秀朗里,13-23,,,
1489,秀朗市民活動中心,成功路一段２０之１號,秀成里,1-9,,,
1490,民宅(秀和宮),成功路二段１巷１號,秀成里,10-17,,,
1491,聖安宮,秀朗路二段８２巷５弄１號,秀林里,1-10,,,
1492,濟安宮,永利路１２７號,秀林里,11-20,,,
1493,秀朗國小110教室,得和路２０２號,秀得里,1-10,,,
1494,秀朗國小112教室,得和路２０２號,秀得里,11-20,,,
1495,秀朗國小114教室,得和路２０２號,秀元里,1-10,,,
1496,秀朗國小116教室,得和路２０２號,秀元里,11-20,,,
1497,秀朗國小146教室,得和路２０２號,民生里,1-9,,,
1498,秀朗國小148教室,得和路２０２號,民生里,10-14,,,
1499,秀朗國小151教室,得和路２０２號,民生里,15-22,,,
1500,秀朗國小153教室,得和路２０２號,民本里,1-10,,,
1501,秀朗國小154教室,得和路２０２號,民本里,11-17,,,
1502,秀朗國小120教室,得和路２０２號,民富里,1-8,,,
1503,合安幼兒園,民樂街５９巷１５號,民富里,9-15,,,
1504,朝代大第,成功路二段４７巷１號,民樂里,1-9,,,
1505,朝代大第,成功路二段４７巷１號,民樂里,"10-14,17",,,
1506,成功大第,成功路二段８１號中庭,民樂里,"15,16,18-22",,,
1507,秀朗國小142教室,得和路２０２號,民治里,1-12,,,
1508,秀朗國小144教室,得和路２０２號,民治里,13-24,,,
1509,智光商工102教室,中正路１００號,智光里,1-16,,,
1510,智光商工103教室,中正路１００號,智光里,17-32,,,
1511,潭墘市民活動中心,安樂路１０２號,潭安里,"7-10,20",,,
1512,潭墘市民活動中心,安樂路１０２號,潭安里,"11,15,16",,新增,
1513,永和國小212教室,秀朗路一段１２０號,潭安里,1-5,,,
1514,永和國小213教室,秀朗路一段１２０號,潭安里,"6,12-14,17-19",,,
1515,永和國小102教室,秀朗路一段１２０號,潭墘里,1-10,,,
1516,永和國小101教室,秀朗路一段１２０號,潭墘里,11-18,,,
1517,永和國小英語教室,秀朗路一段１２０號,潭墘里,19-24,,,
1518,永和國小103教室,秀朗路一段１２０號,店街里,1-12,,,
1519,永和國小104教室,秀朗路一段１２０號,店街里,13-19,,,
1520,大新光明市民活動中心2樓,大新街４５巷１之１號２樓,大新里,1-8,,變更,
1521,大新光明市民活動中心3樓,大新街４５巷１之１號３樓,大新里,9-16,,變更,
1522,永和國小501教室,秀朗路一段１２０號,永安里,1-8,,,
1523,永和國小502教室,秀朗路一段１２０號,永安里,9-16,,,
1524,永和國小503教室,秀朗路一段１２０號,永安里,17-24,,,
1525,民宅,安樂路４６９巷１號,永樂里,1-9,,,
1526,永和天主堂,自由街６９號,永樂里,10-16,,變更,
1527,民宅,永貞路３２０號旁車庫,水源里,1-6,,,
1528,水源市民活動中心,保平路１７７巷６弄２號,水源里,7-14,,,
1529,奧爾仕幼兒園,保平路２０３巷２號,水源里,15-21,,,
1530,民宅,永和路一段４９巷４號,協和里,1-11,,,
1531,東聖宮,保平路５０巷１０弄３號,協和里,12-22,,,
1532,永和雙和教會,中和路３８９巷５號,雙和里,1-7,,,
1533,永和雙和教會,中和路３８９巷５號,雙和里,8-17,,,
