103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
深坑區(第8選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
,,,,,,,
2122,萬順市民活動中心,北深路三段１０７巷２６號,萬順里,1-10,,,
2123,佳麗寶大樓 ,北深路三段３４７號　　,萬順里,11-24 ,,,
2124,郵政修護所 ,北深路三段２６４號　,萬福里,1-13,,,
2125,水尾福德宮  ,北深路三段２８０號旁,萬福里,14-30,,,
2126,土庫第一市民活動中心(新),北深路一段８３巷８弄３６號,土庫里,1-18,,,
2127,土庫第二市民活動中心(舊),北深路一段１６４號,土庫里,19-36,,,
2128,深坑國小(一) ,文化街４５號,深坑里,1-23,,,
2129,深坑國小(二) ,文化街４５號,深坑里,24-41,,,
2130,深坑國中(一) ,文化街４１號,埔新里,1-20,,,
2131,深坑國中 (二) ,文化街４１號,埔新里,21-38,,,
2132,深坑國中(三) ,文化街４１號,埔新里,39-57,,,
2133,昇高市民活動中心 ,旺?路２５號,昇高里,1-10,,,
2134,雲鄉社區會議室,雲鄉路１號地下1樓,昇高里,11-16,,,
2135,慈聖宮   ,北深路一段３００號　,賴仲里,1-16,,,
2136,青山雄觀 -北區大樓(休閒室) ,深南路１９０號地下1樓,賴仲里,17-26,,,
2137,阿柔市民活動中心,阿柔洋６６號對面,阿柔里,全里,,,
