103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,
,,,,,,
,,,,,,
三芝區(第1選舉區),,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註
,,,,,,
11,八賢里活動中心,八連溪４１號,八賢里,全里,,
12,三芝國小(1年1班教室),育英街２２號,埔頭里,1-13,,
13,三芝國小(1年3班),育英街２２號,埔頭里,14-27,,
14,"三芝國小(1年5班教室)",育英街２２號,埔頭里,28-42,,
15,福德宮活動中心,茂興店８７號,古庄里,全里,,
16,三和社區活動中心,蕃社后３之１號,新庄里,全里,,
17,三芝國中(703教室),淡金路一段３８號,埔坪里,1-6,,
18,"三芝國中(資源教室A)",淡金路一段３８號,埔坪里,7-10,,
19,三芝國中(901教室),淡金路一段３８號,埔坪里,11-19,,
20,三芝國中(902教室),淡金路一段３８號,埔坪里,20-35,,
21,茂長里活動中心,陳厝坑６１之３號,茂長里,全里,,
22,橫山里活動中心,大坑８６之１號,橫山里,全里,,
23,錫板智成堂,海尾１７號,錫板里,全里,,
24,芝蘭老人文康活動中心,北勢子４１之１號,後厝里,全里,,
25,福德里活動中心,埔尾９之１號,福德里,全里,,
26,圓山里活動中心,木屐寮３２之２號,圓山里,全里,,
27,三芝區農會北新庄辦事處集貨場,楓子林４９之２號,店子里,全里,,
28,興華國小風雨教室,田心子５號,興華里,全里,,
