103年新北市地方公職人員選舉投開票所設置地點一覽表(草案),,,,,,,
,,,,,,,
,,,,,,,
中和區(第5選舉區),,,,,,,
投開票所編號,場所名稱,投開票所地址,所屬里別,所屬鄰別,監察員姓名,備註,
1270,飛駝社區管理委員會,興南路二段１５９巷２號,頂南里,14-26,,,
1271,華夏技術學院(教學大樓C101教室),工專路１１１號,華新里,"1,38-48",,,
1272,華夏技術學院(教學大樓C103教室),工專路１１１號,華新里,"2-4,28-37",,,
1273,竹林高中,華新街１４３巷１２號,華新里,5-15,,,
1274,竹林高中,華新街１４３巷１２號,華新里,16-27,,,
1275,興南國小,興南路一段１３５巷２４號,東南里,"1-10,12",,,
1276,興南國小,興南路一段１３５巷２４號,東南里,"11,13-21,23",,,
1277,興南國小,興南路一段１３５巷２４號,東南里,"22,24-32",,,
1278,飛駝市民活動中心,忠孝街４８號２樓,華南里,"1,4,6,7,9-12,21,22",,,
1279,桔運青山管委會活動中心,忠孝街２巷１４弄９號,華南里,"2,3,5,8,18-20",,,
1280,放生寺,忠孝街１０８號,華南里,"13-17,23,24",,,
1281,興南國小,興南路一段１３５巷２４號,忠孝里,"1-5,22,23",,,
1282,興南國小,興南路一段１３５巷２４號,忠孝里,24-34,,,
1283,中和國中中和1樓,興南路二段３巷１７號,忠孝里,"6-13,35-38",,,
1284,中和國中中和1樓,興南路二段３巷１７號,忠孝里,"14-21,39",,,
1285,崇南市民活動中心,景新街４９６巷２６弄２號,崇南里,1-20,,,
1286,名家花園社區活動中心,景新街４９６巷３３弄１號地下室,崇南里,21-41,,,
1287,興南活動中心,信義街４１巷１２號,興南里,1-18,,,
1288,興南活動中心,信義街４１巷１６號,興南里,19-37,,,
1289,受殿宮,景新街４６７巷３５弄２號,景南里,1-21,,,
1290,三介廟,景新街４６７巷５０弄２０號,景南里,22-34,,,
1291,景新國小,景新街４３７巷３１號旁,景本里,"1-10,21",,,
1292,停車場,景新街４３７巷３１號旁,景本里,"11-20,22",,變更,
1293,農民活動中心,興南路三段５２巷２之５號,橫路里,全里,,,
1294,內南市民活動中心,興南路二段２４２巷５號,內南里,1-11,,,
1295,大地新象社區中庭,興南路二段１４２巷１０號,內南里,"12-23,39",,,
1296,福神宮,興南路二段２４２巷３號旁,內南里,24-38,,,
1297,裕和祠土地公廟,南山路３２０巷１０弄６號旁,壽南里,"1-11,21-23",,,
1298,興南國小,興南路一段１３５巷２４號,壽南里,12-20,,,
1299,歌德花園城活動中心,興南路二段３４巷５７弄１２號地下１樓,福南里,1-13,,,
1300,歌德花園城活動中心,興南路二段３４巷５７弄１２號地下１樓,福南里,14-29,,,
1301,復興國小,復興路３０１巷６號,外南里,1-10,,,
1302,復興國小,復興路３０１巷６號,外南里,11-20,,,
1303,復興國小,復興路３０１巷６號,外南里,21-31,,,
1304,復興國小,復興路３０１巷６號,中興里,1-11,,,
1305,復興國小,復興路３０１巷６號,中興里,12-19,,,
1306,復興國小,復興路３０１巷６號,中興里,20-28,,,
1307,復興國小,復興路３０１巷６號,中興里,29-38,,,
1308,復興國小,復興路３０１巷６號,吉興里,1-8,,,
1309,復興國小,復興路３０１巷６號,吉興里,9-21,,,
1310,中和區客家文化會館,復興路２８０巷６號,復興里,"1-11,13,14,22,39-41,54,55",,,
1311,中和區客家文化會館,復興路２８０巷６號,復興里,"12,17-19,21,23-35,42,46,51,52",,,
1312,兆元幼兒園,復興路２８０巷４６弄３號,復興里,"15,16,20,36-38,43-45,47-50,53",,,
1313,和興里巡守隊崗亭前廣場,板南路１６０號對面,和興里,"1-3,15-18,20,25,26,29",,,
1314,和興汽車商行,中正路４６號前,和興里,"4-14,19,21-24,27,28,30,42",,,
1315,北聖宮,復興路２８０巷１８弄１１號(板南路１５０號對面),和興里,31-41,,,
1316,巡守隊崗亭,景新街２７３巷３２號旁,景平里,"1-7,28-33",,,
1317,冠德新世界,景平路１５３號,景平里,"11-27,34-41",,,
1318,快易居管委會,景平路２９０號,景平里,"8-10,42,43",,,
1319,民宅,興南路一段５６巷３２號(景新里辦公處前),景新里,"1-13,24-27",,,
1320,車庫,和平街２巷６弄１４號旁(景新里辦公處對面),景新里,"14-23,28-32",,,
1321,台電K書中心(走廊),和平街３３號,景福里,"11-20,35-37,41,43,44",,,
1322,景福市民活動中心,和平街１６４巷２號,景福里,21-34,,,
1323,景福市民活動中心,和平街１６４巷２號,景福里,"1-10,38-40,42",,,
1324,明仁大樓社區會議室,明仁街１５號,景安里,"1-4,11,18,27,28",,,
1325,台貿景安社區管委會,景安路１７７巷１９號地下室,景安里,"5-10,12,13,29-33",,,
1326,景新幼兒園,景新街２３１之６號,景安里,"14-16,19-21,34-39,41,42",,,
1327,民宅,安平路１０號,景安里,"17,22-26,40,43,44",,,
1328,新元幼兒園,景安路８２巷８弄３號,景文里,"1-7,18-20,22-29",,,
1329,土地公廟,景平路５０４巷１０號,景文里,"8-17,21",,,
1330,錦和市民活動中心,圓通路３６９巷２號,錦和里,"1-5,8-11",,,
1331,錦和國小,圓通路２９２號,錦和里,"6,7,13",,,
1332,錦和國小,圓通路２９２號,錦和里,"12,14-16",,,
1333,中和新莊餐廳大樓,圓通路３６５號,錦昌里,全里,,,
1334,灰?里活動中心,員山路２６號,灰?里,全里,,,
1335,東德宮,新生街１１２巷２０號,積穗里,"1-4,13-19",,,
1336,捷年高昇社區圖書室,台新街５至３５號,積穗里,"5-9,12,34-37",,,
1337,元氣大鎮F棟會議室,中山路三段３７巷２號,積穗里,38-41,,,
1338,元氣大鎮G棟會議室,中山路三段３９號,積穗里,42-45,,,
1339,廣福宮,中山路三段６３巷２７號,積穗里,"10,11,32,33",,,
1340,江南園林活動中心,中山路二段５２３巷３５號,積穗里,20-31,,,
1341,民宅,民治街１３４巷４號,民享里,1-10,,,
1342,民宅,民享街８９巷４弄２號,民享里,11-20,,變更,
1343,捷和國際大樓中庭,員山路５０２號,員山里,"1-7,9,10,23,24,36",,,
1344,飛躍21科技園區,中山路三段１０２號,員山里,"8,11-21",,,
1345,環球購物社教中心(公園旁),中山路三段１２０號,員山里,"22,25-35",,,
1346,嘉穗市民活動中心,民利街８５巷４號,嘉穗里,1-7,,,
1347,積穗國小,員山路１５４號,嘉穗里,8-15,,,
1348,積穗國小,員山路１５４號,文元里,"1-10,14-16",,,
1349,積穗國小,員山路１５４號,文元里,"11-13,17-20,25-30",,,
1350,中和牧心堂,連城路５２３巷１３弄２號,文元里,"21-24,31-35",,,
1351,積穗國中,民安街６６號,嘉新里,"1-10,19,20",,,
1352,積穗國中,民安街６６號,嘉新里,"11-18,21,22",,,
1353,積穗國中,民安街６６號,民安里,"1-7,23-25",,,
1354,積穗國中,民安街６６號,民安里,"8-15,22",,,
1355,積穗國中,民安街６６號,民安里,16-21,,,
1356,安穗市民活動中心,員山路２９４巷７號,安穗里,"1-3,10,13,17",,,
1357,積穗國小,員山路１５４號,安穗里,"4,11,12,15",,,
1358,積穗國小,員山路１５４號,安穗里,"5-9,14,16",,,
1359,日新國宅,中山路三段１８１巷２０至３０號地下室,瑞穗里,1-9,,,
1360,日新國宅,中山路三段１８１巷２０至３０號地下室,瑞穗里,10-18,,,
1361,私立中仁幼兒園,民享街９２巷２３號,明穗里,1-17,,,
1362,明穗市民活動中心,民享街１１４巷９號,明穗里,18-33,,,
